#         Kn    delta_p2          p0
2.154435e-04 4.61771e-01 1.72579e+00
3.162278e-04 4.59685e-01 1.72579e+00
4.641589e-04 4.56765e-01 1.72579e+00
6.812921e-04 4.52915e-01 1.72580e+00
1.000000e-03 4.46791e-01 1.72582e+00
1.467799e-03 4.38442e-01 1.72584e+00
2.154435e-03 4.26472e-01 1.72588e+00
3.162278e-03 4.09694e-01 1.72597e+00
4.641589e-03 3.86254e-01 1.72612e+00
6.812921e-03 3.53501e-01 1.72639e+00
1.000000e-02 3.09618e-01 1.72690e+00
1.467799e-02 2.51208e-01 1.72781e+00
