#         Kn    delta_p2          p0
2.154435e-04 2.02522e+00 1.67180e+00
3.162278e-04 2.01824e+00 1.67181e+00
4.641589e-04 2.00849e+00 1.67182e+00
6.812921e-04 1.99269e+00 1.67185e+00
1.000000e-03 1.97202e+00 1.67189e+00
1.467799e-03 1.94207e+00 1.67195e+00
2.154435e-03 1.89822e+00 1.67205e+00
3.162278e-03 1.84016e+00 1.67220e+00
4.641589e-03 1.75724e+00 1.67244e+00
6.812921e-03 1.64662e+00 1.67283e+00
1.000000e-02 1.50076e+00 1.67345e+00
